序号,时间(s),电压(V)
385,1.56000000,-2.280000
386,1.56400000,-2.600000
387,1.56800000,-2.240000
388,1.57200000,-2.480000
389,1.57600000,-2.360000
390,1.58000000,-2.800000
391,1.58400000,-2.200000
392,1.58800000,-2.720000
393,1.59200000,-2.400000
394,1.59600000,-2.680000
395,1.60000000,-2.240000
396,1.60400000,-2.680000
397,1.60800000,-2.080000
398,1.61200000,-2.840000
399,1.61600000,-2.320000
400,1.62000000,-2.800000
401,1.62400000,-2.200000
402,1.62800000,-2.600000
403,1.63200000,-2.040000
404,1.63600000,-2.600000
405,1.64000000,-2.120000
406,1.64400000,-2.760000
407,1.64800000,-2.320000
408,1.65200000,-2.600000
409,1.65600000,-2.320000
410,1.66000000,-2.680000
411,1.66400000,-2.040000
412,1.66800000,-2.600000
413,1.67200000,-2.160000
414,1.67600000,-2.920000
415,1.68000000,-2.080000
416,1.68400000,-2.720000
417,1.68800000,-2.080000
418,1.69200000,-2.560000
419,1.69600000,-2.440000
420,1.70000000,-2.800000
421,1.70400000,-1.920000
422,1.70800000,-2.760000
423,1.71200000,-2.280000
424,1.71600000,-2.560000
425,1.72000000,-2.160000
426,1.72400000,-2.880000
427,1.72800000,-2.160000
428,1.73200000,-2.840000
429,1.73600000,-2.240000
430,1.74000000,-2.600000
431,1.74400000,-2.080000
432,1.74800000,-2.560000
433,1.75200000,-1.960000
434,1.75600000,-2.480000
435,1.76000000,-2.160000
436,1.76400000,-2.840000
437,1.76800000,-2.000000
438,1.77200000,-2.680000
439,1.77600000,-2.160000
440,1.78000000,-2.680000
441,1.78400000,-1.880000
442,1.78800000,-2.760000
443,1.79200000,-2.000000
444,1.79600000,-2.640000
445,1.80000000,-2.200000
446,1.80400000,-2.840000
447,1.80800000,-1.800000
448,1.81200000,-2.560000
449,1.81600000,-2.200000
450,1.82000000,-3.520000
451,1.82400000,-1.760000
452,1.82800000,-2.720000
453,1.83200000,-1.480000
454,1.83600000,-3.120000
455,1.84000000,-1.760000
456,1.84400000,-3.680000
457,1.84800000,-1.320000
458,1.85200000,-2.440000
459,1.85600000,-2.600000
460,1.86000000,-3.800000
461,1.86400000,-1.080000
462,1.86800000,-2.920000
463,1.87200000,-1.440000
464,1.87600000,-3.080000
465,1.88000000,-1.800000
466,1.88400000,-4.120000
467,1.88800000,-1.160000
468,1.89200000,-2.680000
469,1.89600000,-2.200000
470,1.90000000,-3.960000
471,1.90400000,-1.320000
472,1.90800000,-2.960000
473,1.91200000,-1.040000
474,1.91600000,-3.280000
475,1.92000000,-1.960000
476,1.92400000,-4.160000
477,1.92800000,-0.960000
478,1.93200000,-2.120000
479,1.93600000,-2.480000
480,1.94000000,-3.960000
481,1.94400000,-1.040000
482,1.94800000,-2.920000
483,1.95200000,-1.240000
484,1.95600000,-3.320000
485,1.96000000,-1.480000
486,1.96400000,-4.240000
487,1.96800000,-1.120000
488,1.97200000,-2.360000
489,1.97600000,-2.520000
490,1.98000000,-4.000000
491,1.98400000,-1.120000
492,1.98800000,-3.480000
493,1.99200000,-1.000000
494,1.99600000,-3.040000
495,2.00000000,-2.040000
496,2.00400000,-3.720000
497,2.00800000,-1.080000
498,2.01200000,-2.960000
499,2.01600000,-2.440000
500,2.02000000,-3.920000
501,2.02400000,-1.080000
502,2.02800000,-3.120000
503,2.03200000,-1.240000
504,2.03600000,-2.880000
505,2.04000000,-2.000000
506,2.04400000,-4.240000
507,2.04800000,-1.240000
